"ID","ROUTE","COUNTY","PM","LON","LAT"
482,88,"AMA",24.6,-120.19403,38.13476
483,88,"AMA",35,-120.15822,38.1581
484,88,"AMA",19.8,-120.20985,38.12875
485,88,"AMA",24,-120.19679,38.13571
486,88,"AMA",20.5,-120.20634,38.12981
487,88,"AMA",18.6,-120.2146,38.12536
488,88,"AMA",27.8,-120.18174,38.14082
489,88,"AMA",35.7,-120.15639,38.16078
490,88,"AMA",19.5,-120.21099,38.12795
491,88,"AMA",30.5,-120.16832,38.14453
492,88,"AMA",22.5,-120.20322,38.13689
493,49,"AMA",18.7,-120.25728,38.16513
494,88,"AMA",19.6,-120.21074,38.12829
495,88,"AMA",20.5,-120.20634,38.12981
496,88,"AMA",20.6,-120.20579,38.12972
497,88,"AMA",22.5,-120.20322,38.13689
498,88,"AMA",33.4,-120.16028,38.15171
499,88,"AMA",34,-120.16008,38.15417
500,88,"AMA",19,-120.21289,38.12636
501,88,"AMA",25.2,-120.19137,38.13363
502,88,"AMA",19.8,-120.20985,38.12875
503,88,"AMA",21.5,-120.2058,38.13304
504,88,"AMA",26,-120.18839,38.13609
505,88,"AMA",30,-120.17079,38.14374
506,49,"AMA",9.1,-120.24606,38.13406
507,88,"AMA",37,-120.15141,38.16483
508,88,"AMA",24.5,-120.1946,38.13476
509,88,"AMA",17.4,-120.22019,38.12256
510,88,"AMA",20.2,-120.20784,38.12951
511,49,"AMA",21.5,-120.25721,38.17724
512,88,"AMA",34.5,-120.15963,38.15624
513,88,"AMA",23,-120.20102,38.13781
514,88,"AMA",31.8,-120.16286,38.14674
515,88,"AMA",35,-120.15822,38.1581
516,88,"AMA",21,-120.20533,38.131
517,88,"AMA",23,-120.20102,38.13781
518,88,"AMA",37,-120.15141,38.16483
519,49,"AMA",0.5,-120.22034,38.10898
520,88,"AMA",20,-120.2089,38.12923
521,49,"AMA",1,-120.22187,38.11047
522,49,"AMA",0.7,-120.22057,38.10981
523,88,"AMA",19.2,-120.212,38.12693
524,88,"AMA",20.2,-120.20784,38.12951
525,88,"AMA",32.6,-120.16023,38.14911
526,49,"AMA",17.6,-120.25699,38.16042
527,16,"AMA",7.1,-120.27475,38.14945
528,88,"AMA",27,-120.18452,38.13905
529,88,"AMA",16.6,-120.22452,38.12218
530,88,"AMA",24.1,-120.19638,38.13542
531,88,"AMA",27.5,-120.18265,38.13978
532,88,"AMA",32,-120.16179,38.14709
533,88,"AMA",30,-120.17079,38.14374
534,124,"AMA",4,-120.27865,38.12641
535,104,"AMA",4,-120.29152,38.12458
536,16,"AMA",1.9,-120.3013,38.15833
537,88,"AMA",22,-120.20416,38.13486
538,88,"AMA",4,-120.29234,38.10673
539,88,"AMA",27,-120.18452,38.13905
540,104,"AMA",9,-120.24809,38.12403
